1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.050000000000000044e+00,0.000000000000000000e+00,-1.000000000000000000e+00
3.000000000000000000e+00,1.050000000000000044e+00,3.826834323650897818e-01,-9.238795325112867385e-01
4.000000000000000000e+00,1.050000000000000044e+00,7.071067811865475727e-01,-7.071067811865475727e-01
5.000000000000000000e+00,1.050000000000000044e+00,9.238795325112867385e-01,-3.826834323650898373e-01
6.000000000000000000e+00,1.050000000000000044e+00,1.000000000000000000e+00,-6.123233995736766036e-17
7.000000000000000000e+00,1.050000000000000044e+00,9.238795325112867385e-01,3.826834323650897263e-01
8.000000000000000000e+00,1.050000000000000044e+00,7.071067811865475727e-01,7.071067811865474617e-01
9.000000000000000000e+00,1.050000000000000044e+00,3.826834323650898928e-01,9.238795325112867385e-01
1.000000000000000000e+01,1.050000000000000044e+00,1.224646799147353207e-16,1.000000000000000000e+00
